date_time	average_temp	sum_rain_1h	average_clouds_all	sum_traffic_volume	holiday	holiday_dummy	day_of_week
1/1/2016	267.0305263	0	39.73684211	34489	New Years Day	1	6
1/2/2016	267.0027778	0	10.27777778	41018	None	0	7
1/3/2016	270.0561538	0	68.30769231	28628	None	0	1
1/4/2016	263.1219048	0	32.95238095	81891	None	0	2
1/5/2016	269.1394118	0	48.88235294	61120	None	0	3
1/6/2016	271.6259091	0.25	65.72727273	68060	None	0	4
1/7/2016	273.065	0	85	102699	None	0	5
1/8/2016	272.7493939	0	88.18181818	99571	None	0	6
1/9/2016	259.3875	0	74.8125	46046	None	0	7
1/10/2016	251.5633333	0	6.2	34739	None	0	1
1/11/2016	252.1726087	0	46.86956522	67130	None	0	2
1/12/2016	254.406875	0	3.625	47629	None	0	3
1/13/2016	259.918125	0	45.125	51375	None	0	4
1/14/2016	267.4366667	0	77.61904762	79656	None	0	5
1/15/2016	266.7084211	0	78	61431	None	0	6
1/16/2016	255.5477778	0	45.61111111	51271	None	0	7
1/17/2016	250.1229412	0	9	34103	None	0	1
1/18/2016	251.3764286	0	50.78571429	43219	Martin Luther King Jr Day	1	2
1/19/2016	255.0276923	0	38.23076923	45533	None	0	3
1/20/2016	264.2314815	0	88.88888889	97562	None	0	4
1/21/2016	267.42	0	90	113087	None	0	5
1/22/2016	265.8986667	0	83.33333333	58460	None	0	6
1/23/2016	266.25375	0	88.125	46446	None	0	7
1/24/2016	270.84	0	90	58814	None	0	1
1/25/2016	271.2467857	0	90	104512	None	0	2
1/26/2016	269.2273333	0	83.06666667	49374	None	0	3
1/27/2016	269.513125	0	56.25	53758	None	0	4
1/28/2016	272.1588889	0	62.72222222	65632	None	0	5
1/29/2016	269.8491304	0	64.34782609	82128	None	0	6
1/30/2016	274.545	0	31.41666667	32801	None	0	7
1/31/2016	273.8047059	0	10.41176471	38879	None	0	1
2/1/2016	270.7923077	0	74.53846154	102707	None	0	2
2/2/2016	270.8989655	0	85.51724138	71441	None	0	3
2/3/2016	265.9088462	0	53.34615385	66048	None	0	4
2/4/2016	263.6172727	0	69.5	75612	None	0	5
2/5/2016	263.7722581	0	55.41935484	119502	None	0	6
2/6/2016	272.1448387	0	72.80645161	85190	None	0	7
2/7/2016	273.1966667	0	72.8	68890	None	0	1
2/8/2016	263.1903125	0	90	117356	None	0	2
2/9/2016	261.2618182	0	15.27272727	83461	None	0	3
2/10/2016	259.17	0	55.88888889	60681	None	0	4
2/11/2016	260.2715789	0	56.42105263	65421	None	0	5
2/12/2016	259.7561111	0	16.27777778	69821	None	0	6
2/13/2016	256.0395	0	18.45	54431	None	0	7
2/14/2016	263.5921739	0	87.39130435	52091	None	0	1
2/15/2016	269.1634783	0	84.17391304	71273	Washingtons Birthday	1	2
2/16/2016	271.8832143	0	70.67857143	79897	None	0	3
2/17/2016	267.1883333	0	44.88888889	54927	None	0	4
2/18/2016	273.845	0	27.07142857	48940	None	0	5
2/19/2016	277.1935	0	54.8	84335	None	0	6
2/20/2016	276.3042857	0	37.85714286	43201	None	0	7
2/21/2016	272.188	0	53.4	38463	None	0	1
2/22/2016	272.4888889	0	74.83333333	57867	None	0	2
2/23/2016	274.715	0	87.1875	127911	None	0	3
2/24/2016	274.2606667	0	78.73333333	46501	None	0	4
2/25/2016	271.55375	0	67.375	62288	None	0	5
2/26/2016	273.3806667	0	40.33333333	56925	None	0	6
2/27/2016	279.4278571	0	3.785714286	41566	None	0	7
2/28/2016	274.5257143	0	51.85714286	38894	None	0	1
2/29/2016	269.4292308	0	39.23076923	47722	None	0	2
3/1/2016	265.6957143	0	45	54202	None	0	3
3/2/2016	268.0284615	0	55.30769231	45276	None	0	4
3/3/2016	271.7581818	0	90	43727	None	0	5
3/4/2016	273.2247368	0.9	82.94736842	80536	None	0	6
3/5/2016	273.8561538	0	59.07692308	38739	None	0	7
3/6/2016	278.4113333	0	8.8	33134	None	0	1
3/7/2016	282.979375	0	35.4375	61573	None	0	2
3/8/2016	286.8241667	0	59.83333333	44002	None	0	3
3/9/2016	276.4145	0	90	79447	None	0	4
3/10/2016	275.7542857	0	45.78571429	52554	None	0	5
3/11/2016	280.0273333	0	1.266666667	57657	None	0	6
3/12/2016	286.45625	0	8.3125	52240	None	0	7
3/13/2016	283.2909091	0	61.81818182	50257	None	0	1
3/14/2016	283.5991176	0	89.55882353	108333	None	0	2
3/15/2016	284.0291176	0	82.41176471	135296	None	0	3
3/16/2016	279.1918182	0	83.22727273	72335	None	0	4
3/17/2016	276.1113793	0	76.82758621	95981	None	0	5
3/18/2016	273.5479167	0	87.75	83733	None	0	6
3/19/2016	272.4256522	0	85.47826087	57361	None	0	7
3/20/2016	274.3235714	0	27.07142857	38096	None	0	1
3/21/2016	276.1144444	0	15	59292	None	0	2
